,_id,dn,groupid,member,uid
2179,5a58d82d8a714b91a7713777,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=EEVA,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",EEVA
2180,5a58d82d8a714b91a771377a,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STDMAT09,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",STDMAT09
2181,5a58d82d8a714b91a771377d,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=TKIF,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",TKIF
2182,5a58d82d8a714b91a7713780,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=PBAR,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",PBAR
2183,5a58d82d8a714b91a7713783,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STDMAT11,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",STDMAT11
2184,5a58d82d8a714b91a7713786,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=SVIR,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",SVIR
2185,5a58d82d8a714b91a7713789,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=MAGSR2,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",MAGSR2
2186,5a58d82d8a714b91a771378c,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=MDCS,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",MDCS
2187,5a58d82d8a714b91a771378f,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=GCER,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",GCER
2188,5a58d82d8a714b91a7713792,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=CRAO,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",CRAO
2189,5a58d82d8a714b91a7713795,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=PLSU,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",PLSU
2190,5a58d82d8a714b91a7713798,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=RBOH,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",RBOH
2191,5a58d82d8a714b91a771379b,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=LSCPTBM1,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1",LSCPTBM1
