user,uid,path,trustee,appliesto
.CN=PoleEnergie.OU=HDV.O=ANNECY.T=MRY.,GG_PoleEnergie,\batiment\Pôle énergie\~~~CONTROLE DES BATIMENTS~~~,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory,ReadPermissions,ChangePermissions",ThisFolderSubFoldersAndFiles
.CN=PoleEnergie.OU=HDV.O=ANNECY.T=MRY.,GG_PoleEnergie,\batiment\Pôle énergie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PoleEnergie.OU=HDV.O=ANNECY.T=MRY.,GG_PoleEnergie,\batiment,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BuzioF.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BuzioF,\juridic\COMMUN\VS Locatif,"Read,ReadAndExecute,Synchronize,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=BuzioF.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BuzioF,\juridic\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BuzioF.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BuzioF,\juridic,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=StemmelinL.OU=HDV.O=ANNECY.T=MRY.,StemmelinL,\dst\COMMUN\VALLIN FIER,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=StemmelinL.OU=HDV.O=ANNECY.T=MRY.,StemmelinL,\dst\COMMUN,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=StemmelinL.OU=HDV.O=ANNECY.T=MRY.,StemmelinL,\dst,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Batiment.OU=HDV.O=ANNECY.T=MRY.,GG_Batiment,\batiment\Buzio\A Secure,,ThisFolderSubFoldersAndFiles
.CN=Batiment.OU=HDV.O=ANNECY.T=MRY.,GG_Batiment,\batiment\Buzio,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Batiment.OU=HDV.O=ANNECY.T=MRY.,GG_Batiment,\batiment,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BuzioF.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BuzioF,\batiment\Buzio\A Secure,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=BuzioF.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BuzioF,\batiment\Buzio,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BuzioF.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BuzioF,\batiment,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\Personnels Direction\Ducloz\Bouvier\Secours\Euros\Secours2000.mdb,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\Personnels Direction\Ducloz\Bouvier\Secours\Euros,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\Personnels Direction\Ducloz\Bouvier\Secours,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\Personnels Direction\Ducloz\Bouvier,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\Personnels Direction\Ducloz,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=LefebvreS.OU=NOVEL.O=ANNECY.T=MRY.,LefebvreS,\social\Personnels Direction,"ReadAndExecute,Synchronize",ThisFolderOnly
